,Slack,SD,Machines,Accepted Load,Rejected Load,Available Resource
191,0.4,0.143,50,3191359,13279841,8153285
192,0.4,0.143,90,5507613.6,10963586.4,15006255
193,0.4,0.143,130,6820471.1,9650728.9,16471200
194,0.4,0.143,170,7885610.6,8585589.4,16471200
195,0.4,0.148,10,1148365,15322835,1625110
196,0.4,0.148,50,3324370.4,13146829.6,7479880
197,0.4,0.148,90,5429426.5,11041773.5,14712759
198,0.4,0.148,130,7002301.3,9468898.7,16471200
199,0.4,0.148,170,8154893.4,8316306.6,16471200
200,0.4,0.154,10,1196623.7,15274576.3,1686987
201,0.4,0.154,50,3329382,13141818,8222115
202,0.4,0.154,90,5287714.5,11183485.5,14849010
203,0.4,0.154,130,6827077.4,9644122.6,16471200
204,0.4,0.154,170,7968788.7,8502411.3,16471200
205,0.4,0.167,10,1185616.4,15285583.6,1683527
206,0.4,0.167,50,3188393.3,13282806.7,8041325
207,0.4,0.167,90,5194918.8,11276281.2,14733621
208,0.4,0.167,130,6955782,9515418,16471200
209,0.4,0.167,170,7847781.3,8623418.7,16471200
210,0.4,0.174,10,1146461.8,15324738.2,1619544
211,0.4,0.174,50,3236922.8,13234277.2,8040580
212,0.4,0.174,90,5299423.4,11171776.6,14592042
213,0.4,0.174,130,6803319.6,9667880.4,16471200
214,0.4,0.174,170,7917045.6,8554154.4,16471200
215,0.4,0.182,10,1119134.6,15352065.4,1776273
216,0.4,0.182,50,3293403,13177797,8636830
217,0.4,0.182,90,5455479.6,11015720.4,15385155
218,0.4,0.182,130,6815706.1,9655493.9,16471200
219,0.4,0.182,170,7682637.9,8788562.1,16471200
220,0.5,0.2,10,1131147.5,15340052.5,1658342
221,0.5,0.2,50,3350923.4,13120276.6,8598025
222,0.5,0.2,90,4929302.9,11541897.1,15246408
223,0.5,0.2,130,6573097.6,9898102.4,16471200
224,0.5,0.2,170,7663925.1,8807274.9,16471200
225,0.5,0.25,10,1205086.4,15266113.6,1760682
226,0.5,0.25,50,3285775.2,13185424.8,8363540
227,0.5,0.25,90,5045526.6,11425673.4,14978787
228,0.5,0.25,130,6841233.3,9629966.7,16471200
229,0.5,0.25,170,7838229.2,8632970.8,16471200
230,0.5,0.167,10,1215324.7,15255875.3,1693586
231,0.5,0.167,50,3283445,13187755,8443895
232,0.5,0.167,90,5171840.4,11299359.6,14772594
233,0.5,0.167,130,6757184.4,9714015.6,16471200
234,0.5,0.167,170,7651249.5,8819950.5,16471200
235,0.5,0.172,10,1137406.4,15333793.6,1713981
236,0.5,0.172,50,3453309.4,13017890.6,8732995
237,0.5,0.172,90,5135570.1,11335629.9,14873922
238,0.5,0.172,130,6741268.6,9729931.4,16471200
239,0.5,0.172,170,8110908.9,8360291.1,16471200
240,0.5,0.179,10,1146188.2,15325011.8,1531983
241,0.5,0.179,50,3305054.1,13166145.9,8533705
242,0.5,0.179,90,5220877.5,11250322.5,15520620
243,0.5,0.179,130,7044207.4,9426992.6,16471200
244,0.5,0.179,170,7510429.2,8960770.8,16471200
245,0.5,0.185,10,1259455.4,15211744.6,1618472
246,0.5,0.185,50,3224551.3,13246648.7,8725040
247,0.5,0.185,90,5190772.4,11280427.6,15953757
248,0.5,0.185,130,6834572.4,9636627.6,16471200
249,0.5,0.185,170,7788391.9,8682808.1,16471200
250,0.5,0.192,10,1253609,15217591,1693351
251,0.5,0.192,50,3231925.2,13239274.8,8511280
252,0.5,0.192,90,4989723.8,11481476.2,15307644
253,0.5,0.192,130,7016493.5,9454706.5,16471200
254,0.5,0.192,170,7767587.9,8703612.1,16471200
