,,Machines,File,Accepted Load Algorithm,Accepted Load Greedy,Available Resource,Performance Ratio Algorithm,Performance Ratio Greedy,Difference In PR
165,0.1,170,S6,7753653,10016687,10023723,1.292774258,1.000702428,0.29207183
166,0.1,170,S7,6167255,10016368,10023723,1.625313531,1.000734298,0.624579233
167,0.1,170,S8,7760349,10013312,10023723,1.29165879,1.001039716,0.290619074
168,0.1,170,S9,7692597,10016706,10023723,1.303034983,1.00070053,0.302334453
169,0.1,170,S10,7252634,10018113,10023723,1.382080359,1.000559986,0.381520373
170,0.1,180,S1,7852885,10022720,10023723,1.276438277,1.000100073,0.276338205
171,0.1,180,S2,6231545,10022751,10023723,1.608545393,1.000096979,0.608448413
172,0.1,180,S3,7641144,10021290,10023723,1.3118092,1.000242783,0.311566417
173,0.1,180,S4,5927325,10022205,10023723,1.691103997,1.000151464,0.690952533
174,0.1,180,S5,7723706,10022696,10023723,1.29778671,1.000102467,0.297684243
175,0.1,180,S6,7627977,10022554,10023723,1.314073574,1.000116637,0.313956937
176,0.1,180,S7,6325011,10022654,10023723,1.584775584,1.000106658,0.584668925
177,0.1,180,S8,6192733,10021521,10023723,1.618626703,1.000219727,0.618406976
178,0.1,180,S9,6249695,10022776,10023723,1.603873949,1.000094485,0.603779464
179,0.1,180,S10,7513585,10022598,10023723,1.334079937,1.000112246,0.33396769
180,0.1,10,S1,806337,1058976,1431040,1.774741826,1.351343184,0.423398642
181,0.1,10,S2,1093917,1146035,1690450,1.545318338,1.475042211,0.070276127
182,0.1,10,S3,1080120,1155488,1732060,1.603581084,1.49898571,0.104595374
183,0.1,10,S4,977514,1048724,1718280,1.757806026,1.638448248,0.119357779
184,0.1,10,S5,811907,1129636,1714290,2.111436408,1.517559639,0.59387677
185,0.1,10,S6,812562,1101341,1668800,2.053750975,1.515243689,0.538507286
186,0.1,10,S7,753564,1115097,1712250,2.272202494,1.535516641,0.736685853
187,0.1,10,S8,1072220,1131876,1716750,1.601117308,1.516729748,0.08438756
188,0.1,10,S9,1121243,1171449,1693830,1.510671639,1.445927223,0.064744415
189,0.1,10,S10,928250,1146868,1720640,1.853638567,1.500294716,0.353343852
190,0.1,20,S1,1458310,2115906,3350700,2.29765962,1.583576964,0.714082656
191,0.1,20,S2,1569013,2214288,3383980,2.156757146,1.528247455,0.628509691
192,0.1,20,S3,1690568,2257276,3480660,2.058870155,1.5419736,0.516896555
193,0.1,20,S4,1832545,2200596,3436580,1.875304563,1.561658751,0.313645812
194,0.1,20,S5,1884083,2202831,3433060,1.822138409,1.558476342,0.263662066
195,0.1,20,S6,1510959,2201135,3360660,2.224190067,1.526785045,0.697405022
196,0.1,20,S7,1519253,2223845,3514740,2.313465894,1.580478855,0.732987039
197,0.1,20,S8,1614054,2081786,3436980,2.12940831,1.650976613,0.478431696
198,0.1,20,S9,1555453,2247746,3371920,2.167805777,1.500133912,0.667671866
199,0.1,20,S10,1397929,2120327,3441940,2.462170826,1.623306216,0.838864609
200,0.1,30,S1,2158302,3203329,5080500,2.353933787,1.586006308,0.767927479
201,0.1,30,S2,1866017,3197103,5074740,2.719557217,1.587293246,1.132263971
202,0.1,30,S3,1728251,3215107,5190570,3.003365831,1.614431495,1.388934336
203,0.1,30,S4,2422279,3203341,5155560,2.128392312,1.609432152,0.518960159
204,0.1,30,S5,1575027,3228236,5147790,3.268382066,1.594613901,1.673768165
205,0.1,30,S6,1824443,3183178,5059350,2.773092939,1.589402163,1.183690775
206,0.1,30,S7,1762015,3241028,5276670,2.994679387,1.628085287,1.3665941
207,0.1,30,S8,2091297,3158248,5155590,2.465259597,1.632420887,0.832838711
208,0.1,30,S9,2069862,3244210,5047170,2.438408937,1.555747008,0.88266193
209,0.1,30,S10,2022586,3186702,5208480,2.575158732,1.634442129,0.940716604
210,0.1,40,S1,2364524,4172461,6771840,2.863933714,1.622984613,1.240949101
211,0.1,40,S2,2087236,4181243,6779120,3.247893386,1.621316915,1.626576472
212,0.1,40,S3,2084698,4203146,6844000,3.282969524,1.628304132,1.654665391
213,0.1,40,S4,2164424,4159477,6874080,3.17593965,1.652630848,1.523308802
214,0.1,40,S5,2258041,4172166,6884720,3.048979182,1.65015486,1.398824322
215,0.1,40,S6,2139561,4136811,6745200,3.152609344,1.630531344,1.522078
216,0.1,40,S7,2660502,4236956,7030960,2.642719306,1.659436633,0.983282673
217,0.1,40,S8,2195731,4172677,6870720,3.129126473,1.646597616,1.482528857
218,0.1,40,S9,2608229,4179270,6750080,2.587993616,1.615133743,0.972859872
219,0.1,40,S10,2193422,4096398,6903080,3.147173686,1.685158522,1.462015163
220,0.1,50,S1,3171113,5115058,8474100,2.672279417,1.656696757,1.01558266
221,0.1,50,S2,2845007,5121326,8462400,2.974474228,1.652384558,1.32208967
222,0.1,50,S3,2375549,5142069,8596600,3.618784542,1.671817317,1.946967225
223,0.1,50,S4,2916702,5098278,8546700,2.930261645,1.676389557,1.253872087
224,0.1,50,S5,2477849,5148957,8600100,3.470792611,1.670260598,1.800532012
225,0.1,50,S6,2725927,5112193,8442200,3.097001497,1.651385227,1.44561627
226,0.1,50,S7,2700067,5125995,8771050,3.248456427,1.711092188,1.537364239
227,0.1,50,S8,2697787,5098962,8668500,3.213189181,1.700051893,1.513137288
228,0.1,50,S9,2441954,5128310,8431450,3.452747267,1.644099128,1.808648139
229,0.1,50,S10,3220908,5036740,8642600,2.683280615,1.715911482,0.967369133
230,0.1,60,S1,3325999,5963885,10023723,3.01374805,1.680737137,1.333010913
231,0.1,60,S2,2799762,5966924,10023723,3.580205389,1.679881125,1.900324264
232,0.1,60,S3,2929549,6001198,10023723,3.421592539,1.670286999,1.751305539
233,0.1,60,S4,3205711,5971064,10023723,3.126833018,1.67871639,1.448116628
234,0.1,60,S5,3566664,5981557,10023723,2.810391727,1.675771542,1.134620185
235,0.1,60,S6,3153394,5999264,10023723,3.178709353,1.670825455,1.507883898
236,0.1,60,S7,3539932,5985388,10023723,2.831614562,1.67469895,1.156915612
237,0.1,60,S8,3612450,5979184,10023723,2.774771416,1.676436617,1.098334798
238,0.1,60,S9,2892453,6014853,10023723,3.465474806,1.666495091,1.798979715
239,0.1,60,S10,3256400,5968907,10023723,3.078160852,1.679323032,1.398837821
240,0.1,70,S1,4004675,6812392,10023723,2.503005362,1.47139551,1.031609853
241,0.1,70,S2,3167672,6771077,10023723,3.164381603,1.480373506,1.684008096
242,0.1,70,S3,3674403,6801410,10023723,2.727986832,1.473771321,1.254215511
243,0.1,70,S4,3365060,6792543,10023723,2.978765015,1.475695185,1.503069829
244,0.1,70,S5,3542649,6787709,10023723,2.829442883,1.47674613,1.352696753
245,0.1,70,S6,3415713,6787712,10023723,2.934591694,1.476745478,1.457846217
246,0.1,70,S7,3573652,6784937,10023723,2.804896224,1.477349458,1.327546766
247,0.1,70,S8,3422493,6781185,10023723,2.928778233,1.478166869,1.450611364
248,0.1,70,S9,4106463,6831037,10023723,2.440962697,1.467379404,0.973583293
249,0.1,70,S10,3207618,6799888,10023723,3.124974046,1.474101191,1.650872855
250,0.1,80,S1,4195244,7510216,10023723,2.389306319,1.33467839,1.054627929
251,0.1,80,S2,3802381,7486743,10023723,2.636170073,1.338862974,1.297307099
252,0.1,80,S3,3988597,7515677,10023723,2.513094955,1.333708593,1.179386362
253,0.1,80,S4,4643979,7517546,10023723,2.158434179,1.333377009,0.82505717
254,0.1,80,S5,3876617,7501199,10023723,2.585688243,1.336282773,1.24940547
255,0.1,80,S6,3978340,7503074,10023723,2.519574245,1.335948839,1.183625405
256,0.1,80,S7,4122749,7513024,10023723,2.431320219,1.334179553,1.097140666
257,0.1,80,S8,3768522,7472695,10023723,2.659855243,1.341379917,1.318475326
258,0.1,80,S9,3889903,7540471,10023723,2.576856801,1.329323195,1.247533606
259,0.1,80,S10,3786109,7523313,10023723,2.647499847,1.332354908,1.315144939
260,0.1,90,S1,4856534,8134293,10023723,2.063966401,1.23227956,0.831686841
261,0.1,90,S2,3749464,8143485,10023723,2.673374914,1.230888618,1.442486296
262,0.1,90,S3,5249605,8136737,10023723,1.909424233,1.231909425,0.677514808
263,0.1,90,S4,5067548,8135682,10023723,1.97802231,1.232069174,0.745953136
264,0.1,90,S5,5231184,8138550,10023723,1.916148046,1.231634996,0.68451305
265,0.1,90,S6,3911021,8128611,10023723,2.562942771,1.233140939,1.329801832
266,0.1,90,S7,4283082,8131794,10023723,2.340306116,1.232658255,1.107647861
267,0.1,90,S8,3906466,8108274,10023723,2.565931202,1.236233877,1.329697326
268,0.1,90,S9,5048671,8156515,10023723,1.985418143,1.228922279,0.756495864
269,0.1,90,S10,4208445,8144141,10023723,2.381811572,1.230789472,1.1510221
270,0.1,100,S1,4075014,8649911,10023723,2.459800874,1.158823831,1.300977044
271,0.1,100,S2,5795276,8653020,10023723,1.729636863,1.158407469,0.571229394
272,0.1,100,S3,5760724,8652053,10023723,1.740010978,1.158536939,0.581474039
273,0.1,100,S4,4267894,8655755,10023723,2.348634479,1.158041442,1.190593037
274,0.1,100,S5,6120891,8664730,10023723,1.637624816,1.156841933,0.480782884
275,0.1,100,S6,4065539,8647503,10023723,2.465533598,1.159146519,1.306387079
276,0.1,100,S7,5849019,8650721,10023723,1.713744305,1.158715326,0.555028979
277,0.1,100,S8,4112468,8643396,10023723,2.437398419,1.1596973,1.277701119
