,Slack,SD,File,Machines,Accepted Load,Rejected Load,Available Resource
172,0.1,0.034,S3,90,5736169,3797915,9534084
173,0.1,0.034,S4,90,5744967,3789117,9534084
174,0.1,0.034,S5,90,3791327,5742757,9534084
175,0.1,0.034,S6,90,4626128,4907956,9534084
176,0.1,0.034,S7,90,5729711,3804373,9534084
177,0.1,0.034,S8,90,5684787,3849297,9534084
178,0.1,0.034,S9,90,4653576,4880508,9534084
179,0.1,0.034,S10,90,4562596,4971488,9534084
180,0.1,0.034,S1,130,6655223,2878861,9534084
181,0.1,0.034,S2,130,6641064,2893020,9534084
182,0.1,0.034,S3,130,6606530,2927554,9534084
183,0.1,0.034,S4,130,6583754,2950330,9534084
184,0.1,0.034,S5,130,6494289,3039795,9534084
185,0.1,0.034,S6,130,4969953,4564131,9534084
186,0.1,0.034,S7,130,6773300,2760784,9534084
187,0.1,0.034,S8,130,6554679,2979405,9534084
188,0.1,0.034,S9,130,5083661,4450423,9534084
189,0.1,0.034,S10,130,6468607,3065477,9534084
190,0.1,0.034,S1,170,6840770,2693314,9534084
191,0.1,0.034,S2,170,6879262,2654822,9534084
192,0.1,0.034,S3,170,7045716,2488368,9534084
193,0.1,0.034,S4,170,7279808,2254276,9534084
194,0.1,0.034,S5,170,6690138,2843946,9534084
195,0.1,0.034,S6,170,5002620,4531464,9534084
196,0.1,0.034,S7,170,6967146,2566938,9534084
197,0.1,0.034,S8,170,5211777,4322307,9534084
198,0.1,0.034,S9,170,5132487,4401597,9534084
199,0.1,0.034,S10,170,4554262,4979822,9534084
200,0.1,0.036,S1,10,922305,8611779,1458270
201,0.1,0.036,S2,10,869135,8664949,1466680
202,0.1,0.036,S3,10,881691,8652393,1373790
203,0.1,0.036,S4,10,896313,8637771,1489830
204,0.1,0.036,S5,10,840452,8693632,1509770
205,0.1,0.036,S6,10,893878,8640206,1395370
206,0.1,0.036,S7,10,986854,8547230,1342160
207,0.1,0.036,S8,10,812579,8721505,1529040
208,0.1,0.036,S9,10,836474,8697610,1525630
209,0.1,0.036,S10,10,810976,8723108,1485000
210,0.1,0.036,S1,50,2901130,6632954,5434900
211,0.1,0.036,S2,50,3158807,6375277,6780200
212,0.1,0.036,S3,50,3080600,6453484,6017700
213,0.1,0.036,S4,50,2972503,6561581,7105400
214,0.1,0.036,S5,50,3008301,6525783,7600850
215,0.1,0.036,S6,50,2426354,7107730,5980350
216,0.1,0.036,S7,50,3039529,6494555,7294450
217,0.1,0.036,S8,50,3194589,6339495,7448400
218,0.1,0.036,S9,50,3500183,6033901,7669300
219,0.1,0.036,S10,50,2795917,6738167,5830350
220,0.1,0.036,S1,90,4151931,5382153,9534084
221,0.1,0.036,S2,90,5397429,4136655,9534084
222,0.1,0.036,S3,90,3666634,5867450,9534084
223,0.1,0.036,S4,90,3710004,5824080,9534084
224,0.1,0.036,S5,90,4411832,5122252,9534084
225,0.1,0.036,S6,90,5654560,3879524,9534084
226,0.1,0.036,S7,90,4763610,4770474,9534084
227,0.1,0.036,S8,90,3715228,5818856,9534084
228,0.1,0.036,S9,90,5477444,4056640,9534084
229,0.1,0.036,S10,90,3946389,5587695,9534084
230,0.1,0.036,S1,130,5016956,4517128,9534084
231,0.1,0.036,S2,130,5369681,4164403,9534084
232,0.1,0.036,S3,130,5441463,4092621,9534084
233,0.1,0.036,S4,130,5061371,4472713,9534084
234,0.1,0.036,S5,130,4989576,4544508,9534084
235,0.1,0.036,S6,130,5201298,4332786,9534084
236,0.1,0.036,S7,130,5178602,4355482,9534084
237,0.1,0.036,S8,130,4566505,4967579,9534084
238,0.1,0.036,S9,130,5080317,4453767,9534084
239,0.1,0.036,S10,130,4852150,4681934,9534084
240,0.1,0.036,S1,170,7082483,2451601,9534084
241,0.1,0.036,S2,170,6793616,2740468,9534084
242,0.1,0.036,S3,170,6736898,2797186,9534084
243,0.1,0.036,S4,170,5190213,4343871,9534084
244,0.1,0.036,S5,170,7122249,2411835,9534084
245,0.1,0.036,S6,170,5165246,4368838,9534084
246,0.1,0.036,S7,170,6912534,2621550,9534084
247,0.1,0.036,S8,170,6806194,2727890,9534084
248,0.1,0.036,S9,170,6854945,2679139,9534084
249,0.1,0.036,S10,170,7071025,2463059,9534084
250,0.1,0.037,S1,10,1022422,8511662,1489060
251,0.1,0.037,S2,10,1031977,8502107,1509790
252,0.1,0.037,S3,10,836274,8697810,1439220
253,0.1,0.037,S4,10,888896,8645188,1456900
254,0.1,0.037,S5,10,895935,8638149,1448020
255,0.1,0.037,S6,10,945554,8588530,1438330
256,0.1,0.037,S7,10,824177,8709907,1492070
257,0.1,0.037,S8,10,860862,8673222,1483130
258,0.1,0.037,S9,10,850529,8683555,1466940
259,0.1,0.037,S10,10,869044,8665040,1456700
260,0.1,0.037,S1,50,3170291,6363793,6821600
261,0.1,0.037,S2,50,3087455,6446629,7584900
262,0.1,0.037,S3,50,2960056,6574028,7361550
263,0.1,0.037,S4,50,2852664,6681420,5429800
264,0.1,0.037,S5,50,2724710,6809374,5562200
265,0.1,0.037,S6,50,3215746,6318338,7281600
266,0.1,0.037,S7,50,3496880,6037204,7448350
267,0.1,0.037,S8,50,3071213,6462871,5428350
268,0.1,0.037,S9,50,2549143,6984941,5933600
269,0.1,0.037,S10,50,2720688,6813396,5507050
270,0.1,0.037,S1,90,3740716,5793368,9534084
271,0.1,0.037,S2,90,5659247,3874837,9534084
272,0.1,0.037,S3,90,5705390,3828694,9534084
273,0.1,0.037,S4,90,5647541,3886543,9534084
274,0.1,0.037,S5,90,5860273,3673811,9534084
275,0.1,0.037,S6,90,5606473,3927611,9534084
276,0.1,0.037,S7,90,3574561,5959523,9534084
277,0.1,0.037,S8,90,3785488,5748596,9534084
278,0.1,0.037,S9,90,3993243,5540841,9534084
279,0.1,0.037,S10,90,5712726,3821358,9534084
280,0.1,0.037,S1,130,6860093,2673991,9534084
281,0.1,0.037,S2,130,6669630,2864454,9534084
282,0.1,0.037,S3,130,6896858,2637226,9534084
283,0.1,0.037,S4,130,6767148,2766936,9534084
284,0.1,0.037,S5,130,6749711,2784373,9534084
285,0.1,0.037,S6,130,4939035,4595049,9534084
286,0.1,0.037,S7,130,4324805,5209279,9534084
287,0.1,0.037,S8,130,6831427,2702657,9534084
288,0.1,0.037,S9,130,7026928,2507156,9534084
289,0.1,0.037,S10,130,6645698,2888386,9534084
290,0.1,0.037,S1,170,6867357,2666727,9534084
291,0.1,0.037,S2,170,6900863,2633221,9534084
292,0.1,0.037,S3,170,7045066,2489018,9534084
293,0.1,0.037,S4,170,5321559,4212525,9534084
294,0.1,0.037,S5,170,6906140,2627944,9534084
295,0.1,0.037,S6,170,5184852,4349232,9534084
296,0.1,0.037,S7,170,6856087,2677997,9534084
297,0.1,0.037,S8,170,7166332,2367752,9534084
298,0.1,0.037,S9,170,7081070,2453014,9534084
299,0.1,0.037,S10,170,5602655,3931429,9534084
300,0.1,0.038,S1,10,810624,8723460,1458800
301,0.1,0.038,S2,10,929665,8604419,1484580
302,0.1,0.038,S3,10,1017991,8516093,1542300
303,0.1,0.038,S4,10,1045423,8488661,1342080
304,0.1,0.038,S5,10,948836,8585248,1484810
305,0.1,0.038,S6,10,865855,8668229,1517920
306,0.1,0.038,S7,10,892391,8641693,1373740
307,0.1,0.038,S8,10,935670,8598414,1445190
308,0.1,0.038,S9,10,901326,8632758,1475470
309,0.1,0.038,S10,10,781175,8752909,1141110
310,0.1,0.038,S1,50,3031793,6502291,5439200
